source,station,comp,lat,lon,dist,max_amp,max_amp_anti,max_amp_causal,snr,snr_anticausal,snr_causal,noise,noise_anticausal,noise_causal
SVD,NO.B4003,ZZ,34.15833,-117.64694,50.94038226570433,2.5185853998074084e-11,2.5185853998074084e-11,1.670772389818942e-11,7.184096027527114,6.0890991758670525,6.685519614501978,3.8408715105470717e-10,3.3805987085396354e-10,1.823141884865874e-10
SVD,NO.B4004,ZZ,34.15667,-117.64889,51.09920551084327,2.6633754631353653e-11,2.6633754631353653e-11,1.4385719920194278e-11,7.99770456637384,6.627766545475958,6.608581082352019,3.6484799676273507e-10,3.2848810344230254e-10,1.5877539683042802e-10
SVD,NO.B4005,ZZ,34.15361,-117.64806,50.98808338662818,1.9527131356404193e-11,1.9527131356404193e-11,1.0527362036056393e-11,4.726269303337719,4.377243530844554,2.863159391805234,4.5265248002856965e-10,3.6463540463497434e-10,2.6820754904122885e-10
SVD,NO.B4006,ZZ,34.15083,-117.64778,50.93250097838753,2.6414594415138738e-11,2.6414594415138738e-11,1.2588191175908151e-11,7.727887830660049,6.529809145235394,5.222264756480769,3.7447954004176425e-10,3.306223004517531e-10,1.7585169988908846e-10
SVD,NO.B4007,ZZ,34.14889,-117.64833,50.96325659734187,2.617472790554703e-11,2.617472790554703e-11,1.1715027649815093e-11,7.804150995562909,6.550577030077235,5.075385885929875,3.6745272231834844e-10,3.2660589025838203e-10,1.6837486625887784e-10
SVD,NO.B4008,ZZ,34.14583,-117.64694,50.806198531953285,2.257039808989835e-11,2.257039808989835e-11,1.0264444926679303e-11,7.086866662384998,6.018439677993448,4.489758293730691,3.4892324607568263e-10,3.0646373136118677e-10,1.6681550591048094e-10
SVD,NO.B4009,ZZ,34.14333,-117.64806,50.88684646510739,2.0415699177697897e-11,2.0415699177697897e-11,8.811735243598882e-12,7.9469298851579016,6.522065567482595,5.478114701484449,2.814555679752735e-10,2.5582050915831183e-10,1.1735886774447806e-10
SVD,NO.B4010,ZZ,34.14083,-117.6475,50.8145456927776,2.050125377489997e-11,2.050125377489997e-11,8.151240289570512e-12,7.912497107929197,6.540906024244323,4.861430284666022,2.838652076747127e-10,2.56152305301078e-10,1.2233336673676204e-10
SVD,NO.B4011,ZZ,34.1375,-117.64833,50.86556069920077,1.4645864815130138e-11,1.4645864815130138e-11,6.1706165960721824e-12,8.514209219538243,7.03965494135862,5.538652894933103,1.8845856384882673e-10,1.7002763317220337e-10,8.12848955576677e-11
SVD,NO.B4012,ZZ,34.13583,-117.64694,50.72589143224016,9.967790113290861e-12,9.967790113290861e-12,4.473718958207285e-12,6.98502763238837,6.0002934817591,4.208728367785609,1.5634232309647612e-10,1.3574293688499488e-10,7.756788689296119e-11
SVD,NO.B4013,ZZ,34.1325,-117.6475,50.756085999810416,7.583779832430686e-12,7.583779832430686e-12,3.249982745452193e-12,5.814246035814349,5.208696362472023,2.996191528888333,1.4290290169038402e-10,1.1898355073041763e-10,7.914640842839114e-11
SVD,NO.B4014,ZZ,34.13139,-117.6475,50.74956121563467,1.765702903406595e-11,1.765702903406595e-11,6.049626912455977e-12,8.716257435507437,7.09690806032446,4.960291648866675,2.219384899606526e-10,2.0331604930044548e-10,8.89903220742206e-11
SVD,NO.B4015,ZZ,34.12667,-117.6475,50.725144311075105,2.1045004516626844e-11,2.1045004516626844e-11,7.198174235935916e-12,8.034841486984348,6.56724703794725,4.4750616967375505,2.869568867881426e-10,2.6185239473501564e-10,1.1737792912928913e-10
SVD,NO.B4016,ZZ,34.12472,-117.64722,50.69081917029235,2.42494044617983e-11,2.42494044617983e-11,8.245844489923156e-12,9.084469267221328,7.207549040945468,6.033929678910353,2.924465334931056e-10,2.749186262323796e-10,9.972323652306577e-11
SVD,NO.B4017,ZZ,34.12167,-117.6475,50.705163075163654,1.9842748697819106e-11,1.9842748697819106e-11,6.515971705102827e-12,8.26097076225686,6.80742636782912,4.249405483549111,2.6315811522798274e-10,2.381841229322049e-10,1.118951169326014e-10
SVD,NO.B4018,ZZ,34.11833,-117.6475,50.69519169734854,2.1573813930238767e-11,2.1573813930238767e-11,6.560604482786196e-12,8.709339049218835,6.969766349510632,4.866786706642491,2.7138549642701536e-10,2.529296115739155e-10,9.83702153093394e-11
